name,id
5030102/10001,34470
5030102/10002,34471
5030102/10003,34472
5030102/10004,34473
5030103/10001,34474
5030103/10002,34475
5030103/10003,34476
5030103/10004,34477
5030301/10001,34478
5030301/10002,34479
5030302/10001,34480
5030302/10002,34481
5030302/10003,34482
5030302/10004,34483
5030302/10005,34484
5031503/10001,34485
5031503/10002,34486
5031503/10003,34487
5030102/00001,34512
5030102/00002,34513
5030102/00003,34514
5030102/00004,34515
5030103/00001,34516
5030103/00002,34517
5030103/00003,34518
5030103/00004,34519
5030301/00001,34520
5030301/00002,34521
5030302/00001,34522
5030302/00002,34523
5030302/00003,34524
5030302/00004,34525
5031503/00001,34526
5031503/00001,34527
5031503/00001,34528
5030102/90101,34552
5030102/90201,34553
5030102/90401,34554
5030103/90101,34555
5030103/90201,34556
5030103/90301,34557
5030301/90101,34558
5030301/90102,34559
5030302/90101,34560
5030302/90201,34561
5030302/90501,34562
5030302/90801,34563
5031503/90301,34564
5031503/90302,34565
5031503/90401,34566
5030102/80101,34576
5030102/80201,34577
5030102/80401,34578
5030103/80101,34579
5030103/80201,34580
5030103/80301,34581
5030301/80101,34582
5030302/80101,34583
5030302/80201,34584
5030302/80501,34585
5030302/80801,34586
5031503/80301,34587
5031503/80302,34588
5031503/80401,34589
